Movie title,Url,Position,Duration,Genre,Rating,RatingCount
Fargo,https://www.imdb.com/title/tt0116282/,,PT1H38M,"Crime, Drama, Thriller",8.1,763947
The Wild Robot,https://www.imdb.com/title/tt29623480/,,PT1H42M,"Animation, Adventure, Family",8.2,193975
Warrior,https://www.imdb.com/title/tt1291584/,,PT2H20M,"Action, Drama, Sport",8.1,519093
Million Dollar Baby,https://www.imdb.com/title/tt0405159/,,PT2H12M,"Drama, Sport",8.1,752357
Gran Torino,https://www.imdb.com/title/tt1205489/,,PT1H56M,Drama,8.1,846222
Dead Poets Society,https://www.imdb.com/title/tt0097165/,,PT2H8M,"Comedy, Drama",8.1,606977
Ben-Hur,https://www.imdb.com/title/tt0052618/,,PT3H32M,"Adventure, Drama",8.1,265884
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,,PT2H,"Action, Adventure, Sci-Fi",8.1,1178857
Barry Lyndon,https://www.imdb.com/title/tt0072684/,,PT3H5M,"Adventure, Drama, War",8.1,196887
Tonari no Totoro,https://www.imdb.com/title/tt0096283/,,PT1H26M,"Animation, Adventure, Comedy",8.1,415085
Bacheha-ye aseman,https://www.imdb.com/title/tt0118849/,,PT1H29M,"Drama, Family, Sport",8.2,87235
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,,PT2H19M,"Biography, Drama, History",8.1,650188
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,,PT1H39M,"Comedy, Drama",8.1,938666
12 Years a Slave,https://www.imdb.com/title/tt2024544/,,PT2H14M,"Biography, Drama, History",8.1,770852
Before Sunrise,https://www.imdb.com/title/tt0112471/,,PT1H41M,"Comedy, Drama, Romance",8.1,364794
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,,PT2H28M,"Action, Adventure, Fantasy",8.2,973081
Blade Runner,https://www.imdb.com/title/tt0083658/,,PT1H57M,"Action, Drama, Sci-Fi",8.1,862067
Salinui chueok,https://www.imdb.com/title/tt0353969/,,PT2H11M,"Crime, Drama, Mystery",8.1,249455
Gone Girl,https://www.imdb.com/title/tt2267998/,,PT2H29M,"Drama, Mystery, Thriller",8.1,1134989
Ratatouille,https://www.imdb.com/title/tt0382932/,,PT1H51M,"Animation, Adventure, Comedy",8.1,902872
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,,PT1H38M,"Animation, Action, Adventure",8.1,864137
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,,PT1H32M,"Animation, Adventure, Comedy",8.1,1041557
In the Name of the Father,https://www.imdb.com/title/tt0107207/,,PT2H13M,"Biography, Crime, Drama",8.1,198239
Jaws,https://www.imdb.com/title/tt0073195/,,PT2H4M,"Adventure, Horror, Thriller",8.1,711755
Relatos salvajes,https://www.imdb.com/title/tt3011894/,,PT2H2M,"Comedy, Drama, Thriller",8.1,231800
The Gold Rush,https://www.imdb.com/title/tt0015864/,,PT1H35M,"Adventure, Comedy, Drama",8.1,125615
Ford v Ferrari,https://www.imdb.com/title/tt1950186/,,PT2H32M,"Action, Biography, Drama",8.1,539168
Sherlock Jr.,https://www.imdb.com/title/tt0015324/,,PT45M,"Action, Comedy, Romance",8.1,63336
Mary and Max.,https://www.imdb.com/title/tt0978762/,,PT1H32M,"Animation, Comedy, Drama",8.1,198140
The Deer Hunter,https://www.imdb.com/title/tt0077416/,,PT3H3M,"Drama, War",8.1,379060
Le salaire de la peur,https://www.imdb.com/title/tt0046268/,,PT2H36M,"Adventure, Drama, Thriller",8.1,71570
The General,https://www.imdb.com/title/tt0017925/,,PT1H18M,"Action, Adventure, Comedy",8.1,103896
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,,PT2H9M,"Comedy, Drama",8.1,127223
On the Waterfront,https://www.imdb.com/title/tt0047296/,,PT1H48M,"Crime, Drama, Thriller",8.1,174303
Logan,https://www.imdb.com/title/tt3315342/,,PT2H17M,"Action, Drama, Sci-Fi",8.1,901638
Rocky,https://www.imdb.com/title/tt0075148/,,PT2H,"Drama, Sport",8.1,668928
Smultronstället,https://www.imdb.com/title/tt0050986/,,PT1H32M,"Drama, Romance",8.1,121862
Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,,PT2H17M,Drama,8.1,75256
The Third Man,https://www.imdb.com/title/tt0041959/,,PT1H44M,"Drama, Film-Noir, Mystery",8.1,191437
Spotlight,https://www.imdb.com/title/tt1895587/,,PT2H9M,"Biography, Crime, Drama",8.1,523805
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,,PT2H23M,"Action, Adventure, Fantasy",8.1,1283215
Maharaja,https://www.imdb.com/title/tt26548265/,,PT2H21M,"Action, Crime, Drama",8.4,73266
The Terminator,https://www.imdb.com/title/tt0088247/,,PT1H47M,"Action, Adventure, Sci-Fi",8.1,975962
The Big Lebowski,https://www.imdb.com/title/tt0118715/,,PT1H57M,"Comedy, Crime",8.1,898605
La haine,https://www.imdb.com/title/tt0113247/,,PT1H38M,"Crime, Drama",8.1,216088
Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,,PT1H36M,"Drama, Fantasy",8.1,211130
Room,https://www.imdb.com/title/tt3170832/,,PT1H58M,"Drama, Thriller",8.1,471832
